addr_state,mean_addr_state_annual_inc
AK,75753.69431704887
AL,67446.79114108329
AR,65228.09312318841
AZ,70026.54781839214
CA,76645.46504624207
CO,72611.2976709702
CT,80329.22463203463
DC,86586.70457041629
DE,72505.10222744361
FL,68187.13120978938
GA,74390.58804682274
HI,67700.0716241879
IA,45122.07692307692
ID,50017.0
IL,75215.85808063103
IN,66596.83601727447
KS,67983.01035714286
KY,66331.53242821299
LA,72930.54058270245
MA,78351.73726349062
MD,80944.57662866265
ME,17500.0
MI,67928.80792623218
MN,67694.82587189703
MO,66159.38534319428
MS,67102.89052040817
MT,61871.54206708976
NC,69953.64161799295
NE,56340.0
NH,73946.61781967214
NJ,83073.57744734097
NM,71886.4044626506
NV,68263.60513886229
NY,75922.65792442871
OH,65816.35517676144
OK,68029.05151035322
OR,63956.12871208974
PA,68925.76938579069
RI,68890.70806921675
SC,69454.29987634893
SD,57480.48930087391
TN,67209.97002683178
TX,78633.24000960284
UT,71546.45191582003
VA,78635.29387031497
VT,62699.686932599725
WA,72329.73265886288
WI,64371.7314978903
WV,65758.52397196261
WY,69432.13959738846
