addr_state,mean_addr_state_annual_income_commitment_rate
AK,6.25678963110668
AL,6.221434382359238
AR,6.043865942028986
AZ,5.670152689415848
CA,5.36899351387262
CO,5.809495078614343
CT,5.369475324675325
DC,4.714207263064659
DE,5.782340225563909
FL,5.738286858910794
GA,5.759125418060201
HI,6.285812093953023
IA,5.006923076923077
ID,3.88
IL,5.748177037686241
IN,6.381424184261037
KS,6.071050595238095
KY,6.10955394480067
LA,5.821826106905253
MA,5.787322194626326
MD,5.490885873902633
ME,4.62
MI,5.918383200957458
MN,5.8576325467361325
MO,6.061381086920393
MS,6.735285714285714
MT,6.21804170444243
NC,6.014227753822031
NE,4.035384615384616
NH,5.670551912568306
NJ,5.430175182481753
NM,6.0527180722891565
NV,5.69730894464662
NY,5.550963425235966
OH,6.061716522455706
OK,6.042323386114495
OR,5.876975488159534
PA,5.903650878533231
RI,5.648585306618093
SC,6.122036870503597
SD,6.278676654182273
TN,6.484788441692467
TX,5.618169970505522
UT,5.8748657474600865
VA,5.671759633996129
VT,5.915804676753782
WA,5.741241041567128
WI,6.1734303797468355
WV,6.226542056074766
WY,6.221556039173014
