addr_state,mean_addr_state_int_rate
AK,14.312951146560318
AL,14.334149004495824
AR,13.929105072463768
AZ,13.682334297281665
CA,13.753132572247768
CO,13.634481656653458
CT,13.668845021645023
DC,13.168352524357838
DE,14.090300751879699
FL,13.827604220379992
GA,13.793552675585284
HI,14.481419290354822
IA,12.487692307692308
ID,11.181999999999999
IL,13.708441313287938
IN,14.144535508637237
KS,13.740720238095237
KY,13.961037078338444
LA,13.923840330350997
MA,13.2214698577557
MD,14.052655341466195
ME,11.065
MI,13.93019693178109
MN,13.70752068648483
MO,13.694380920724614
MS,14.101591836734693
MT,13.633825929283772
NC,14.0387475499804
NE,12.945384615384615
NH,13.503289617486338
NJ,13.816054918317693
NM,13.866298795180724
NV,14.066824363148822
NY,13.909967402440161
OH,13.960201895344046
OK,13.934531059683312
OR,13.693016202742001
PA,13.830105423987776
RI,13.740898603521554
SC,13.896398381294965
SD,13.799538077403247
TN,14.353700722394219
TX,13.733011866383153
UT,13.786563860667632
VA,13.920415273623087
VT,13.65821182943604
WA,13.94372790253225
WI,13.655314345991561
WV,13.923494288681205
WY,13.909597388465723
