addr_state,mean_addr_state_loan_amnt
AK,16388.310069790627
AL,14442.539070862771
AR,13723.659420289856
AZ,13755.936957779062
CA,14084.431983076627
CO,14621.765946567813
CT,14378.12987012987
DC,14455.336581045172
DE,14297.861842105263
FL,13448.496687953671
GA,14493.127090301003
HI,14853.04847576212
IA,8351.923076923076
ID,7920.0
IL,14782.887817703768
IN,14748.147792706333
KS,14276.69642857143
KY,13960.635628659047
LA,14379.530855700848
MA,15397.558703996387
MD,15066.434842093262
ME,3100.0
MI,13888.744423892938
MN,13794.30738584125
MO,14003.839122486288
MS,15340.94387755102
MT,13453.082502266545
NC,14225.531654253235
NE,8165.384615384615
NH,14412.978142076503
NJ,15025.921098366354
NM,14794.5421686747
NV,13489.75292089638
NY,14100.262332743472
OH,13851.269056448291
OK,14342.349269183922
OR,13335.5421686747
PA,13975.198624904508
RI,13532.088646023072
SC,14557.081834532373
SD,13135.705368289638
TN,14896.346749226006
TX,15137.462274504423
UT,14307.37481857765
VA,15174.456713003696
VT,13307.668500687758
WA,14399.095198279982
WI,13957.689873417721
WV,14260.423156801662
WY,15342.27421109902
