addr_state,mean_addr_state_open_acc
AK,10.405782652043868
AL,11.034253907086278
AR,11.138043478260869
AZ,10.685482938114516
CA,10.62516827217259
CO,11.28969572999233
CT,11.762300762300763
DC,11.011514614703277
DE,11.233082706766917
FL,11.140188028085207
GA,11.36923076923077
HI,9.853073463268366
IA,9.076923076923077
ID,7.7
IL,11.64646396548237
IN,11.623800383877159
KS,10.931229532598987
KY,11.246724282129913
LA,10.940569068379991
MA,11.320533092387622
MD,11.45490822027135
ME,4.5
MI,11.382548144924382
MN,11.213760343242415
MO,11.27559840425532
MS,11.48265306122449
MT,10.505893019038984
NC,10.964131713053705
NE,9.461538461538462
NH,11.176502732240436
NJ,11.769920734251148
NM,10.963373493975904
NV,10.725914575751771
NY,11.397609066915075
OH,11.44404153617933
OK,10.909561510353228
OR,10.627544661404238
PA,11.559969442322384
RI,11.22768670309654
SC,11.230665467625899
SD,10.384519350811486
TN,11.448710010319918
TX,11.638577357066914
UT,11.181422351233673
VA,11.264560971317966
VT,10.5171939477304
WA,10.497491638795987
WI,11.1957805907173
WV,11.149532710280374
WY,10.817192600652884
