addr_state,mean_addr_state_revol_util
AK,64.0803589232303
AL,56.91241002570694
AR,55.557137681159425
AZ,56.24284375
CA,56.42827158550238
CO,57.479182759943726
CT,55.614649791955614
DC,57.836415261756876
DE,56.964938737040534
FL,54.68058821194681
GA,56.05707112970711
HI,62.127577577577576
IA,48.7
ID,34.58
IL,55.966321505666485
IN,56.51046266077942
KS,56.99941597139452
KY,56.48086471408647
LA,55.6035715927373
MA,55.210352622061485
MD,57.03513633770679
ME,37.9
MI,55.77348606878537
MN,58.29164366758663
MO,56.22581878636741
MS,57.473850868232894
MT,57.49365367180417
NC,56.780156862745095
NE,59.323076923076925
NH,57.501530891197376
NJ,54.497817523836034
NM,57.295267727930536
NV,55.41449300364194
NY,54.981687020291474
OH,55.44842695702384
OK,57.256703229737965
OR,58.24009972989819
PA,55.47884418266657
RI,56.93561627200972
SC,56.597054193838545
SD,60.97359198998748
TN,56.88525707206277
TX,55.271369783086215
UT,58.250511796733214
VA,57.56356281362796
VT,59.11572413793104
WA,59.73049342891278
WI,56.92130306230201
WV,55.01003116883117
WY,58.21067538126362
