addr_state,mean_addr_state_tot_cur_bal
AK,154885.87830080368
AL,137821.69247952345
AR,122594.33220910624
AZ,141267.3704055337
CA,140137.3768853775
CO,159235.5693039857
CT,160454.11275026345
DC,161727.93063583816
DE,171136.00227272726
FL,125163.88275106049
GA,150237.8076732428
HI,130726.10577472842
IA,24585.5
ID,171628.33333333334
IL,141710.08569623253
IN,130191.5585065435
KS,125096.2955715757
KY,133295.17276814388
LA,132376.6916240237
MA,159304.98491470463
MD,187780.4855561555
ME,
MI,119789.16987219258
MN,142485.0608096164
MO,133495.30131863806
MS,122565.9739039666
MT,132540.722280887
NC,137815.3698368036
NE,106483.5
NH,158050.8740506329
NJ,156310.00753453327
NM,142162.60366870483
NV,128456.89007328448
NY,112329.66374400479
OH,124581.76912790143
OK,126254.29884655715
OR,134790.31843306898
PA,131488.27541757445
RI,140865.13357664234
SC,145452.8957023061
SD,109036.76190476191
TN,134609.17600664176
TX,133978.0790186395
UT,167930.8956668069
VA,182010.72466072944
VT,137179.0816
WA,156857.21405706333
WI,126207.38646395292
WV,127244.05399061032
WY,154621.40506329114
