addr_state,mean_addr_state_total_rev_hi_lim
AK,30039.92192881745
AL,27257.32340531149
AR,27160.00505902192
AZ,28502.9298792893
CA,29885.852359626515
CO,30103.99821534801
CT,38124.65753424657
DC,32884.87514450867
DE,31570.24659090909
FL,29480.874791478003
GA,31223.641617924062
HI,25863.690680388794
IA,12700.0
ID,35200.0
IL,33032.68185767317
IN,28574.362394149346
KS,28976.21592859595
KY,28867.733461785487
LA,27651.50067330999
MA,35139.686592415055
MD,32864.71611771058
ME,
MI,28734.13711378583
MN,29755.911083613224
MO,29371.240307026175
MS,26539.69624217119
MT,25963.159450897572
NC,29987.63781654474
NE,32800.0
NH,32485.501898734175
NJ,34793.26622017581
NM,28652.679822123402
NV,26512.074838996225
NY,31085.6839028777
OH,29549.386951953387
OK,26337.304089479203
OR,26868.683970199472
PA,30688.978122730572
RI,31400.204379562045
SC,29502.226153039832
SD,23225.434343434343
TN,28671.20402656704
TX,30582.23944559503
UT,27930.742111905765
VA,32819.35485581001
VT,27533.3856
WA,29465.023799582465
WI,29920.962726826874
WV,28024.715962441314
WY,27024.925316455698
