sub_grade,mean_sub_grade_annual_inc
A1,88082.15434134216
A2,82306.94715753425
A3,83241.32229355033
A4,80324.64905944171
A5,81060.12611929986
B1,74389.14267739297
B2,74217.00042053881
B3,72201.88669988577
B4,71911.3244095067
B5,69266.19957059463
C1,70180.64449646765
C2,69712.51383516741
C3,70767.14676995954
C4,70378.98819101999
C5,70641.91107897412
D1,69141.89151487473
D2,68752.87610464692
D3,69360.98391151037
D4,71187.67208351764
D5,71522.21791411043
E1,71357.96880856388
E2,73611.2118848921
E3,72788.16982136478
E4,74152.6412925454
E5,74293.0039465948
F1,74027.12107120352
F2,75288.71822343553
F3,73367.8949766355
F4,74042.89506773399
F5,81377.63516102395
G1,81440.5312
G2,81076.78402366865
G3,86996.7820742358
G4,93454.48495726495
G5,92423.51085034014
