sub_grade,mean_sub_grade_int_rate
A1,6.006980707776068
A2,6.553942472320512
A3,7.386549472626822
A4,7.797717569786536
A5,8.638894006563419
B1,9.624670302699755
B2,10.658428142307331
B3,11.591813132705715
B4,12.354888516824568
B5,12.941282774314832
C1,13.526935863693032
C2,14.106178412549754
C3,14.681329320043423
C4,15.252644173371399
C5,15.894850864309118
D1,16.52433911795407
D2,17.116136845956824
D3,17.656973385945765
D4,18.205816155003095
D5,18.873657302766116
E1,19.393650771583484
E2,20.03296690647482
E3,20.603974633797787
E4,21.327485905199417
E5,22.02928711415972
F1,22.860784499054823
F2,23.32345233095338
F3,23.844443925233644
F4,24.17259236453202
F5,24.49262592898431
G1,24.812262857142855
G2,24.938357988165677
G3,25.000065502183407
G4,24.536581196581196
G5,24.59734693877551
