sub_grade,mean_sub_grade_loan_amnt
A1,12669.197538170198
A2,12574.634744892135
A3,13555.878955298846
A4,13487.92446633826
A5,14024.402671426104
B1,12844.35642214344
B2,13324.693748239932
B3,13029.013865364162
B4,13448.841269193073
B5,12875.23374888691
C1,13286.07147804405
C2,13679.82556778272
C3,14382.239958551269
C4,14775.474954580846
C5,15086.343351033782
D1,14603.754566805845
D2,14415.428100987925
D3,14746.729913525312
D4,15860.21852605503
D5,16275.739963405445
E1,16962.303628527734
E2,17476.273381294963
E3,17689.82225794927
E4,18211.432449363125
E5,17709.756246937777
F1,17681.112161310648
F2,18787.022259554808
F3,17759.369158878504
F4,18877.94027093596
F5,19982.018992568126
G1,20158.0
G2,20446.44970414201
G3,21125.545851528383
G4,21301.85185185185
G5,20163.26530612245
