sub_grade,mean_sub_grade_open_acc
A1,11.602391098484848
A2,11.411509477049554
A3,11.341539389067524
A4,11.144902785076196
A5,11.273507226348823
B1,11.173275156803927
B2,11.112842658655651
B3,10.986646182935477
B4,11.100796405962834
B5,10.940283000197903
C1,11.053841891392686
C2,10.99995317255912
C3,11.16452010856156
C4,11.22981882365156
C5,11.219749180883516
D1,11.259590292275574
D2,11.100914745700695
D3,11.129722921914357
D4,11.182164027249403
D5,11.284791733936068
E1,11.376199082441262
E2,11.33568345323741
E3,11.337502233339288
E4,11.51158905825851
E5,11.43483586477217
F1,11.407687460617517
F2,11.592188156236876
F3,11.305607476635513
F4,11.572660098522167
F5,11.54335260115607
G1,11.786285714285714
G2,12.550295857988166
G3,11.737991266375547
G4,12.994301994301994
G5,13.183673469387756
