sub_grade,mean_sub_grade_total_acc
A1,27.270951704545453
A2,26.735099337748345
A3,26.524015273311896
A4,25.944232790331057
A5,25.940461795359013
B1,25.492827924734115
B2,25.267461509575668
B3,24.70743717009375
B4,24.92717990606494
B5,24.473283198100138
C1,24.579977835241966
C2,24.614844298759074
C3,24.932494448556625
C4,24.928204329543686
C5,24.842729635069485
D1,24.671450939457202
D2,24.253201609952434
D3,24.21796809403862
D4,24.56179775280899
D5,24.65827144548488
E1,25.089392464896427
E2,25.087625899280575
E3,24.88529569412185
E4,25.06013781582794
E5,24.797403233708966
F1,24.832703213610586
F2,25.386392272154556
F3,24.416355140186916
F4,25.099137931034484
F5,25.218827415359208
G1,26.328
G2,26.45414201183432
G3,25.425764192139738
G4,27.794871794871796
G5,27.91496598639456
