sub_grade,mean_sub_grade_total_rev_hi_lim
A1,55139.912777694946
A2,48641.79486794718
A3,46410.79939806333
A4,41744.51272791333
A5,40313.2315759435
B1,34288.84799082978
B2,32472.62301781919
B3,30057.255074555076
B4,29346.535017221584
B5,26990.907308809292
C1,27961.891952147907
C2,27179.972758601827
C3,27389.886026200875
C4,27162.565118397084
C5,27117.221511122156
D1,25806.36564417178
D2,25384.320676180767
D3,25068.019596373208
D4,25612.95352612887
D5,26016.15011230347
E1,25597.12497976364
E2,25533.28993689804
E3,25971.125495101103
E4,26277.883126369612
E5,26113.446144961017
F1,25201.229374768776
F2,25021.667832167834
F3,23222.279032258066
F4,25119.8690647482
F5,25371.204701273262
G1,25968.225174825177
G2,26809.196363636365
G3,27563.69291338583
G4,26278.15294117647
G5,30381.01851851852
